,movie_title,imdb_score,cluster_KMeans
0,Avatar,7.9,9
1,Pirates of the Caribbean: At World's End,7.1,9
2,Spectre,6.8,9
3,The Dark Knight Rises,8.5,2
4,John Carter,6.6,5
5,Spider-Man 3,6.2,9
6,Tangled,7.8,4
7,Avengers: Age of Ultron,7.5,2
8,Harry Potter and the Half-Blood Prince,7.5,2
9,Batman v Superman: Dawn of Justice,6.9,9
10,Superman Returns,6.1,9
11,Quantum of Solace,6.7,9
12,Pirates of the Caribbean: Dead Man's Chest,7.3,9
13,The Lone Ranger,6.5,15
14,Man of Steel,7.2,9
15,The Chronicles of Narnia: Prince Caspian,6.6,5
16,The Avengers,8.1,2
17,Pirates of the Caribbean: On Stranger Tides,6.7,9
18,Men in Black 3,6.8,9
19,The Hobbit: The Battle of the Five Armies,7.5,9
20,The Amazing Spider-Man,7.0,9
21,Robin Hood,6.7,20
22,The Hobbit: The Desolation of Smaug,7.9,9
23,The Golden Compass,6.1,8
24,King Kong,7.2,9
25,Titanic,7.7,9
26,Captain America: Civil War,8.2,2
27,Battleship,5.9,5
28,Jurassic World,7.0,9
29,Skyfall,7.8,9
30,Spider-Man 2,7.3,9
31,Iron Man 3,7.2,9
32,Alice in Wonderland,6.5,2
33,X-Men: The Last Stand,6.8,5
34,Monsters University,7.3,8
35,Transformers: Revenge of the Fallen,6.0,9
36,Transformers: Age of Extinction,5.7,9
37,Oz the Great and Powerful,6.4,2
38,The Amazing Spider-Man 2,6.7,9
39,TRON: Legacy,6.8,9
40,Cars 2,6.3,8
41,Green Lantern,5.6,5
42,Toy Story 3,8.3,8
43,Terminator Salvation,6.6,5
44,Furious 7,7.2,2
45,World War Z,7.0,9
46,X-Men: Days of Future Past,8.0,2
47,Star Trek Into Darkness,7.8,9
48,Jack the Giant Slayer,6.3,5
49,The Great Gatsby,7.3,9
50,Prince of Persia: The Sands of Time,6.6,5
51,Pacific Rim,7.0,9
52,Transformers: Dark of the Moon,6.3,9
53,Indiana Jones and the Kingdom of the Crystal Skull,6.2,21
54,The Good Dinosaur,6.8,8
55,Brave,7.2,8
56,Star Trek Beyond,7.5,5
57,WALL·E,8.4,8
58,Rush Hour 3,6.2,12
59,2012,5.8,5
60,A Christmas Carol,6.8,2
61,Jupiter Ascending,5.4,2
62,The Legend of Tarzan,6.6,5
63,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",6.9,8
64,X-Men: Apocalypse,7.3,9
65,The Dark Knight,9.0,2
66,Up,8.3,8
67,Monsters vs. Aliens,6.5,8
68,Iron Man,7.9,9
69,Hugo,7.5,21
70,Wild Wild West,4.8,15
71,The Mummy: Tomb of the Dragon Emperor,5.2,0
72,Suicide Squad,6.9,9
73,Evan Almighty,5.4,2
74,Edge of Tomorrow,7.9,9
75,Waterworld,6.1,5
76,G.I. Joe: The Rise of Cobra,5.8,5
77,Inside Out,8.3,9
78,The Jungle Book,7.8,9
79,Iron Man 2,7.0,9
80,Snow White and the Huntsman,6.1,2
81,Maleficent,7.0,9
82,Dawn of the Planet of the Apes,7.6,9
83,The Lovers,4.5,5
84,47 Ronin,6.3,5
85,Captain America: The Winter Soldier,7.8,9
86,Shrek Forever After,6.4,8
87,Tomorrowland,6.5,5
88,Big Hero 6,7.9,8
89,Wreck-It Ralph,7.8,8
90,The Polar Express,6.6,8
91,Independence Day: Resurgence,5.5,5
92,How to Train Your Dragon,8.2,8
93,Terminator 3: Rise of the Machines,6.4,5
94,Guardians of the Galaxy,8.1,9
95,Interstellar,8.6,9
96,Inception,8.8,2
97,Godzilla Resurgence,8.2,5
98,The Hobbit: An Unexpected Journey,7.9,9
99,The Fast and the Furious,6.7,12
100,The Curious Case of Benjamin Button,7.8,21
101,X-Men: First Class,7.8,9
102,The Hunger Games: Mockingjay - Part 2,6.6,2
103,The Sorcerer's Apprentice,6.1,5
104,Poseidon,5.6,5
105,Alice Through the Looking Glass,6.4,2
106,Shrek the Third,6.1,8
107,Warcraft,7.3,9
108,Terminator Genisys,6.6,9
109,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,8
110,Pearl Harbor,6.1,1
111,Transformers,7.1,9
112,Alexander,5.5,1
113,Harry Potter and the Order of the Phoenix,7.5,9
114,Harry Potter and the Goblet of Fire,7.6,2
115,Hancock,6.4,9
116,I Am Legend,7.2,9
117,Charlie and the Chocolate Factory,6.7,21
118,Ratatouille,8.0,8
119,Batman Begins,8.3,2
120,Madagascar: Escape 2 Africa,6.7,8
121,Night at the Museum: Battle of the Smithsonian,5.9,8
122,X-Men Origins: Wolverine,6.7,9
123,The Matrix Revolutions,6.7,5
124,Frozen,7.6,4
125,The Matrix Reloaded,7.2,9
126,Thor: The Dark World,7.1,2
127,Mad Max: Fury Road,8.1,9
128,Angels & Demons,6.7,17
129,Thor,7.0,2
130,Bolt,6.9,8
131,G-Force,5.1,8
132,Wrath of the Titans,5.8,5
133,Dark Shadows,6.2,2
134,Mission: Impossible - Rogue Nation,7.4,9
135,The Wolfman,5.8,0
136,Bee Movie,6.2,8
137,Kung Fu Panda 2,7.3,8
138,The Last Airbender,4.2,5
139,Mission: Impossible III,6.9,21
140,White House Down,6.4,12
141,Mars Needs Moms,5.4,8
142,Flushed Away,6.7,8
143,Pan,5.8,8
144,Mr. Peabody & Sherman,6.9,8
145,Troy,7.2,9
146,Madagascar 3: Europe's Most Wanted,6.9,8
147,Die Another Day,6.1,5
148,Ghostbusters,5.5,9
149,Armageddon,6.6,5
150,Men in Black II,6.1,5
151,Beowulf,6.3,8
152,Kung Fu Panda 3,7.2,8
153,Mission: Impossible - Ghost Protocol,7.4,9
154,Rise of the Guardians,7.3,8
155,Fun with Dick and Jane,6.1,6
156,The Last Samurai,7.7,1
157,Exodus: Gods and Kings,6.1,9
158,Star Trek,8.0,9
159,Spider-Man,7.3,9
160,How to Train Your Dragon 2,7.9,8
161,Gods of Egypt,5.5,5
162,Stealth,5.0,5
163,Watchmen,7.7,9
164,Lethal Weapon 4,6.6,12
165,Hulk,5.7,5
166,G.I. Joe: Retaliation,5.8,5
167,Sahara,6.0,5
168,Final Fantasy: The Spirits Within,6.4,8
169,Captain America: The First Avenger,6.9,9
